0           0          0        0
5000        0.10       0.09     0.06
10000       0.12       0.14     0.13
15000       0.21       0.24     0.22
20000       0.31       0.28     0.28
25000       0.29       0.36     0.37
30000       0.41       0.41     0.41
35000       0.46       0.49     0.45
40000       0.53       0.56     0.57
45000       0.62       0.65     0.62
50000       0.65       0.70     0.65
55000       0.80       0.78     0.75
60000       0.87       0.84     0.83
65000       0.93       0.90     0.90
70000       1.00       1.00     0.94
75000       1.03       1.04     1.05
80000       1.10       1.10     1.15
85000       1.21       1.18     1.19
90000       1.20       1.26     1.22
95000       1.34       1.33     1.32
100000      1.40       1.43     1.38
