0          0        0           0
5000       0.09     0.10        0.06
10000      0.13     0.13        0.14
15000      0.19     0.21        0.22
20000      0.26     0.29        0.30
25000      0.34     0.34        0.35
30000      0.41     0.42        0.41
35000      0.49     0.48        0.50
40000      0.60     0.59        0.55
45000      0.66     0.59        0.62
50000      0.71     0.68        0.70
55000      0.77     0.78        0.77
60000      0.86     0.89        0.84
65000      0.90     0.94        0.93
70000      1.00     1.01        0.99
75000      1.05     1.08        1.03
80000      1.12     1.13        1.08
85000      1.22     1.21        1.17
90000      1.26     1.28        1.29
95000      1.36     1.35        1.37
100000     1.38     1.43        1.41
