  5000 requests completed in 0.09 seconds
  10000 requests completed in 0.14 seconds
  15000 requests completed in 0.21 seconds
  20000 requests completed in 0.28 seconds
  25000 requests completed in 0.37 seconds
  30000 requests completed in 0.44 seconds
  35000 requests completed in 0.48 seconds
  40000 requests completed in 0.56 seconds
  45000 requests completed in 0.63 seconds
  50000 requests completed in 0.72 seconds
  55000 requests completed in 0.78 seconds
  60000 requests completed in 0.85 seconds
  65000 requests completed in 0.93 seconds
  70000 requests completed in 1.00 seconds
  75000 requests completed in 1.06 seconds
  80000 requests completed in 1.12 seconds
  85000 requests completed in 1.19 seconds
  90000 requests completed in 1.25 seconds
  95000 requests completed in 1.36 seconds
  100000 requests completed in 1.41 seconds
