  5000 requests completed in 0.07 seconds
  10000 requests completed in 0.13 seconds
  15000 requests completed in 0.23 seconds
  20000 requests completed in 0.25 seconds
  25000 requests completed in 0.36 seconds
  30000 requests completed in 0.44 seconds
  35000 requests completed in 0.51 seconds
  40000 requests completed in 0.57 seconds
  45000 requests completed in 0.64 seconds
  50000 requests completed in 0.71 seconds
  55000 requests completed in 0.78 seconds
  60000 requests completed in 0.83 seconds
  65000 requests completed in 0.92 seconds
  70000 requests completed in 0.99 seconds
  75000 requests completed in 1.04 seconds
  80000 requests completed in 1.10 seconds
  85000 requests completed in 1.18 seconds
  90000 requests completed in 1.24 seconds
  95000 requests completed in 1.33 seconds
  100000 requests completed in 1.42 seconds
