5000         0.07       0.09        0.09
10000        0.13       0.14        0.13
15000        0.23       0.21        0.24
20000        0.25       0.28        0.27
25000        0.36       0.37        0.34
30000        0.44       0.44        0.41
35000        0.51       0.48        0.51
40000        0.57       0.56        0.59
45000        0.64       0.63        0.60
50000        0.71       0.72        0.68
55000        0.78       0.78        0.75
60000        0.83       0.85        0.87
65000        0.92       0.93        0.90
70000        0.99       1.00        1.01
75000        1.04       1.06        1.05
80000        1.10       1.12        1.11
85000        1.18       1.19        1.21
90000        1.24       1.25        1.22
95000        1.33       1.36        1.32
100000       1.42       1.41        1.42
