0           0          0        0
5000        0.19       0.18     0.13
10000       0.37       0.37     0.25
15000       0.58       0.56     0.37
20000       0.76       0.73     0.48
25000       0.94       0.90     0.63
30000       1.17       1.10     0.77
35000       1.32       1.29     0.89
40000       1.53       1.44     1.02
45000       1.76       1.64     1.16
50000       1.97       1.83     1.26
55000       2.07       2.06     1.35
60000       2.31       2.18     1.54
65000       2.59       2.36     1.64
70000       2.69       2.62     1.77
75000       2.87       2.76     1.86
80000       3.16       2.96     1.98
85000       3.28       3.08     2.13
90000       3.49       3.27     2.26
95000       3.57       3.51     2.42
100000      3.85       3.75     2.51
